epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.7,0.87483,3.28848,1.44511,0.21475,0.37714,0.20505,0.14026,1.04411,2.59423,1.67954,0.0033307,0.0033307,0.0033307
2,555.584,0.82285,2.253,1.38239,0.3292,0.48734,0.37858,0.25252,1.11294,2.06282,1.77315,0.00662005,0.00662005,0.00662005
3,825.543,0.91331,2.33754,1.44912,0.3401,0.39376,0.29739,0.17301,1.44755,2.24371,2.28309,0.0098654,0.0098654,0.0098654
4,1088.49,0.93972,2.36076,1.46122,0.37134,0.47756,0.40237,0.2542,1.27145,1.91157,1.98327,0.009802,0.009802,0.009802
5,1348,0.87907,2.15722,1.41044,0.42215,0.55927,0.49664,0.34166,1.08289,1.71671,1.73109,0.009736,0.009736,0.009736
6,1607.57,0.84454,2.01643,1.38011,0.49765,0.5702,0.55087,0.39504,0.99321,1.51839,1.60866,0.00967,0.00967,0.00967
7,1867.09,0.80971,1.91209,1.35669,0.50053,0.60093,0.59598,0.41362,1.05306,1.40107,1.68596,0.009604,0.009604,0.009604
8,2126.66,0.7932,1.84693,1.34299,0.54796,0.65418,0.63271,0.44285,1.05024,1.301,1.69368,0.009538,0.009538,0.009538
9,2385.8,0.77172,1.75457,1.32667,0.61213,0.65853,0.68033,0.49665,0.97757,1.18875,1.62096,0.009472,0.009472,0.009472
10,2644.88,0.74826,1.69513,1.30762,0.62701,0.6549,0.69828,0.52913,0.86414,1.14149,1.46267,0.009406,0.009406,0.009406
11,2904.07,0.73649,1.63458,1.29901,0.64763,0.68745,0.7141,0.53608,0.87985,1.10538,1.47907,0.00934,0.00934,0.00934
12,3163.14,0.72617,1.59245,1.291,0.63749,0.7006,0.72786,0.56145,0.8364,1.08618,1.46672,0.009274,0.009274,0.009274
13,3422.2,0.714,1.55111,1.28124,0.6504,0.72007,0.74497,0.57273,0.86151,1.02524,1.47993,0.009208,0.009208,0.009208
14,3681.18,0.70641,1.5062,1.27451,0.67796,0.73178,0.76163,0.58457,0.86239,1.00413,1.47511,0.009142,0.009142,0.009142
15,3940.24,0.69189,1.46817,1.26367,0.71192,0.71626,0.7604,0.59559,0.79854,0.96482,1.39898,0.009076,0.009076,0.009076
16,4199.84,0.68121,1.43616,1.25659,0.71579,0.72816,0.77252,0.61031,0.79039,0.94895,1.38319,0.00901,0.00901,0.00901
17,4459.28,0.68021,1.42597,1.25745,0.71949,0.74174,0.78381,0.59806,0.88424,0.94538,1.48888,0.008944,0.008944,0.008944
18,4718.97,0.67429,1.39202,1.25307,0.70237,0.74548,0.78571,0.63583,0.72704,0.91458,1.33716,0.008878,0.008878,0.008878
19,4977.96,0.67056,1.37316,1.2506,0.73856,0.74894,0.79759,0.63577,0.77808,0.89476,1.37896,0.008812,0.008812,0.008812
20,5236.83,0.65786,1.34864,1.24198,0.74849,0.73967,0.80042,0.64722,0.72875,0.87339,1.32761,0.008746,0.008746,0.008746
21,5495.77,0.6538,1.32207,1.23461,0.72605,0.77806,0.80888,0.65815,0.71048,0.84736,1.29987,0.00868,0.00868,0.00868
22,5754.61,0.65277,1.30546,1.23835,0.75764,0.76317,0.81029,0.65912,0.70498,0.85002,1.30498,0.008614,0.008614,0.008614
23,6013.57,0.6516,1.28705,1.23396,0.75451,0.76071,0.81795,0.66255,0.72223,0.83667,1.30144,0.008548,0.008548,0.008548
24,6272.36,0.63893,1.26386,1.22627,0.74773,0.78737,0.82307,0.67926,0.6768,0.82094,1.27927,0.008482,0.008482,0.008482
25,6535.33,0.63506,1.2523,1.22211,0.75819,0.77749,0.82161,0.68228,0.65343,0.80038,1.25797,0.008416,0.008416,0.008416
